"","OBJECTID","SUBZONE_NO","SUBZONE_N","SUBZONE_C","CA_IND","PLN_AREA_N","PLN_AREA_C","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
"197",198,7,"KIM KEAT","TPSZ07","N","TOA PAYOH","TP","CENTRAL REGION","CR","7E3E15992F058B10","2014/12/05",30817.6061,34898.8968,2500.85227084,369770.56315
"198",199,4,"BEDOK NORTH","BDSZ04","N","BEDOK","BD","EAST REGION","ER","A2254301F85C1EDF","2014/12/05",39429.2104,34737.6194,8414.96210185,3203663.49324
"199",200,2,"TOA PAYOH CENTRAL","TPSZ02","N","TOA PAYOH","TP","CENTRAL REGION","CR","F05298981CE86DAB","2014/12/05",29409.7438,34982.1962,5201.96875215,1107267.03579
"200",201,1,"PAYA LEBAR NORTH","PLSZ01","N","PAYA LEBAR","PL","EAST REGION","ER","3B624AD13872144A","2014/12/05",38291.9788,39463.3319,4812.86290481,1287387.26346
"201",202,3,"HOUGANG EAST","HGSZ03","N","HOUGANG","HG","NORTH-EAST REGION","NER","EED5DED3CE2CF722","2014/12/05",35128.0008,39812.3857,3960.44686192,842667.626122
"202",203,10,"LORONG HALUS","HGSZ10","N","HOUGANG","HG","NORTH-EAST REGION","NER","F0518D430182A509","2014/12/05",35870.2568,39071.4384,5788.96000094,1333532.9862
"203",204,2,"KANGKAR","HGSZ02","N","HOUGANG","HG","NORTH-EAST REGION","NER","BE2E2BB27D14DC52","2014/12/05",35222.4409,39071.3399,5617.43081118,1007410.00225
"204",205,7,"SEMBAWANG HILLS","AMSZ07","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","FE6D048ED663500B","2014/12/05",27715.9236,39634.529,4326.11127378,894516.075765
"205",206,5,"JELEBU","BPSZ05","N","BUKIT PANJANG","BP","WEST REGION","WR","61A034F12715D43D","2014/12/05",20535.3901,39769.4445,3992.42603071,911208.285046
"206",207,2,"KEAT HONG","CKSZ02","N","CHOA CHU KANG","CK","WEST REGION","WR","8ADEB58B9C197CD0","2014/12/05",18333.674,39720.6197,4680.78329119,1143813.67458
"207",208,4,"HOUGANG WEST","HGSZ04","N","HOUGANG","HG","NORTH-EAST REGION","NER","27B0E0BDE3579753","2014/12/05",33849.2205,39506.8724,6424.48213864,1328876.19766
"208",209,3,"PAYA LEBAR WEST","PLSZ03","N","PAYA LEBAR","PL","EAST REGION","ER","4BADA58E2612A6E2","2014/12/05",36649.3106,39403.4873,5898.47569455,609894.668049
"209",210,4,"BANGKIT","BPSZ04","N","BUKIT PANJANG","BP","WEST REGION","WR","434BCF269E20F681","2014/12/05",21431.2286,39899.5272,4350.13572206,763183.429445
"210",211,1,"ANAK BUKIT","BTSZ01","N","BUKIT TIMAH","BT","CENTRAL REGION","CR","22AC7070AFD473BD","2014/12/05",21127.1918,35561.884,7637.80947893,2768353.55736
"211",212,2,"SWISS CLUB","BTSZ02","N","BUKIT TIMAH","BT","CENTRAL REGION","CR","7AED94EB01C4B0C6","2014/12/05",23436.2688,35866.3679,8976.74405286,3467036.98458
"212",213,5,"XILIN","TMSZ05","N","TAMPINES","TM","EAST REGION","ER","1511CC4BB4BE642B","2014/12/05",43110.6141,34607.3132,12926.0469938,7833992.84483
"213",214,4,"SIMEI","TMSZ04","N","TAMPINES","TM","EAST REGION","ER","80BC46AD51E70C08","2014/12/05",41431.0631,35870.7852,7402.56077942,2778635.6553
"214",215,4,"PENG SIANG","CKSZ04","N","CHOA CHU KANG","CK","WEST REGION","WR","38D2C20DFB2C1BB6","2014/12/05",17462.292,40146.4113,4555.05795281,862737.090793
"215",216,2,"PASIR RIS WEST","PRSZ02","N","PASIR RIS","PR","EAST REGION","ER","504681216FE2A24B","2014/12/05",39851.4092,40140.2237,5128.49489035,1583440.16442
"216",217,9,"YIO CHU KANG WEST","AMSZ09","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","34215498CFFEE6DF","2014/12/05",28750.4979,40360.6262,3707.00572695,846137.19731
"217",218,5,"TRAFALGAR","HGSZ05","N","HOUGANG","HG","NORTH-EAST REGION","NER","86A32783BB5CDD32","2014/12/05",33351.5218,40336.7975,6199.26749111,1744387.40739
"218",219,1,"TECK WHYE","CKSZ01","N","CHOA CHU KANG","CK","WEST REGION","WR","B0AC5DFFC3C9CC3B","2014/12/05",19269.9942,40394.105,4531.98145589,1001591.78599
"219",220,3,"CHOA CHU KANG CENTRAL","CKSZ03","N","CHOA CHU KANG","CK","WEST REGION","WR","CCB9716DE31DDEF5","2014/12/05",18465.672,40772.9207,4202.49660819,1097298.79854
"220",221,2,"CHANGI WEST","CHSZ02","N","CHANGI","CH","EAST REGION","ER","7460F2CFB1D7D36C","2014/12/05",44092.338,38928.6585,14918.1082207,4848516.74046
"221",222,3,"FAJAR","BPSZ03","N","BUKIT PANJANG","BP","WEST REGION","WR","2F183C2676E91CD1","2014/12/05",21080.9573,40748.0926,3800.60894051,668454.439261
"222",223,1,"SENJA","BPSZ01","N","BUKIT PANJANG","BP","WEST REGION","WR","E8D08EFDCD0D5E22","2014/12/05",19897.9466,40895.3637,3836.25422873,624877.500116
"223",224,2,"SAUJANA","BPSZ02","N","BUKIT PANJANG","BP","WEST REGION","WR","BAD02A93A41830EC","2014/12/05",20536.7145,40906.6531,3686.69056677,674992.000939
"224",225,1,"SELETAR HILLS","SGSZ01","N","SERANGOON","SG","NORTH-EAST REGION","NER","AE4E2159139560B6","2014/12/05",31676.9626,40603.1989,6498.65107142,2330683.26442
"225",226,5,"COMPASSVALE","SESZ05","N","SENGKANG","SE","NORTH-EAST REGION","NER","380E7DCFD2E09905","2014/12/05",34304.2505,40761.0908,5216.01738046,1093213.49087
"226",227,12,"YIO CHU KANG EAST","AMSZ12","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","75F91E9882406325","2014/12/05",30234.3682,40602.6508,5592.19108104,1861872.04192
"227",228,10,"YIO CHU KANG","AMSZ10","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","5E2B16BB381BAEA4","2014/12/05",29443.7447,40836.0207,4533.21836353,909418.567689
